# Time,Current
0.000000000000000000e+00,0.000000000000000000e+00
2.004008016032064049e-02,1.328875496517571163e-05
4.008016032064128098e-02,1.052176821175112708e-04
6.012024048096192147e-02,3.513240179953874332e-04
8.016032064128256196e-02,8.238828337841804352e-04
1.002004008016031955e-01,1.591927532918947829e-03
1.202404809619238429e-01,2.721281324301168258e-03
1.402805611222444904e-01,4.274492098609295604e-03
1.603206412825651239e-01,6.310273375055934150e-03
1.803607214428857575e-01,8.883972199216768478e-03
2.004008016032063910e-01,1.204764456240628272e-02
2.204408817635270523e-01,1.585005540167775534e-02
2.404809619238476859e-01,2.033667859982327131e-02
2.605210420841683194e-01,2.554969698537368911e-02
2.805611222444889807e-01,3.152802955868368867e-02
3.006012024048095865e-01,3.830802896755585579e-02
3.206412825651302478e-01,4.592111903521680499e-02
3.406813627254509091e-01,5.439481378196846934e-02
3.607214428857715149e-01,6.375355100431263911e-02
3.807615230460921762e-01,7.401869227495105896e-02
4.008016032064127820e-01,8.520852294278526140e-02
4.208416833667334433e-01,9.733825213291669165e-02
4.408817635270541047e-01,1.104200127466466452e-01
4.609218436873747105e-01,1.244628614614763096e-01
4.809619238476953718e-01,1.394727787311066947e-01
5.010020040080159776e-01,1.554526687854387024e-01
5.210420841683366389e-01,1.724023596305731543e-01
5.410821643286573002e-01,1.903186030488107361e-01
5.611222444889779615e-01,2.091966274128749526e-01
5.811623246492986228e-01,2.290285308453025581e-01
6.012024048096191731e-01,2.497992962388248250e-01
6.212424849699398344e-01,2.714917011644336076e-01
6.412825651302604957e-01,2.940864508605913752e-01
6.613226452905811570e-01,3.175621782332313514e-01
6.813627254509018183e-01,3.418954438557576525e-01
7.014028056112223686e-01,3.670607359690448712e-01
7.214428857715430299e-01,3.930304704814390759e-01
7.414829659318636912e-01,4.197749909687564229e-01
7.615230460921843525e-01,4.472625686742841555e-01
7.815631262525050138e-01,4.754594025087800491e-01
8.016032064128255641e-01,5.043296190504730214e-01
8.216432865731462254e-01,5.338352725450625780e-01
8.416833667334668867e-01,5.639363449057190891e-01
8.617234468937875480e-01,5.945907457130834572e-01
8.817635270541082093e-01,6.257543122152677828e-01
9.018036072144288706e-01,6.573808093278545872e-01
9.218436873747494209e-01,6.894219296338970349e-01
9.418837675350700822e-01,7.218272933839195993e-01
9.619238476953907435e-01,7.545443868688502809e-01
9.819639278557114048e-01,7.875185497252399358e-01
1.002004008016031955e+00,8.206948160369962331e-01
1.022044088176352616e+00,8.540184055032731258e-01
1.042084168336673278e+00,8.874346951890221824e-01
1.062124248496993939e+00,9.208892195249931412e-01
1.082164328657314600e+00,9.543276703077337997e-01
1.102204408817635262e+00,9.876958966995896816e-01
1.122244488977955923e+00,1.020939905228704259e+00
1.142284569138276584e+00,1.054005859789019617e+00
1.162324649298597246e+00,1.086840081640274569e+00
1.182364729458917685e+00,1.119389049408007208e+00
1.202404809619238346e+00,1.151599399083553132e+00
1.222444889779559007e+00,1.183417924024045886e+00
1.242484969939879669e+00,1.214791574952416742e+00
1.262525050100200330e+00,1.245667459957394918e+00
1.282565130260520991e+00,1.275992844493508249e+00
1.302605210420841653e+00,1.305715151381082073e+00
1.322645290581162314e+00,1.334781960806239676e+00
1.342685370741482975e+00,1.363141010320902291e+00
1.362725450901803637e+00,1.390740194842789546e+00
1.382765531062124298e+00,1.417527566655418347e+00
1.402805611222444737e+00,1.443451335408103997e+00
1.422845691382765398e+00,1.468459868115960187e+00
1.442885771543086060e+00,1.492501689159898337e+00
1.462925851703406721e+00,1.515525480286626703e+00
1.482965931863727382e+00,1.537480080608653488e+00
1.503006012024048044e+00,1.558314486604282845e+00
1.523046092184368705e+00,1.577977852117618873e+00
1.543086172344689366e+00,1.596419488358561622e+00
1.563126252505010028e+00,1.613588863902811088e+00
1.583166332665330689e+00,1.629435604691863881e+00
1.603206412825651128e+00,1.643919858612416851e+00
1.623246492985971789e+00,1.657038134460433465e+00
1.643286573146292451e+00,1.668766327507919423e+00
1.663326653306613112e+00,1.679079561467318848e+00
1.683366733466933773e+00,1.687954958882059930e+00
1.703406813627254435e+00,1.695371641126554252e+00
1.723446893787575096e+00,1.701310728406197237e+00
1.743486973947895757e+00,1.705755339757368372e+00
1.763527054108216419e+00,1.708690593047430095e+00
1.783567134268537080e+00,1.710103604974729796e+00
1.803607214428857741e+00,1.709983491068597594e+00
1.823647294589178181e+00,1.708321365689347893e+00
1.843687374749498842e+00,1.705110342028278936e+00
1.863727454909819503e+00,1.700345532107672364e+00
1.883767535070140164e+00,1.694024046780793658e+00
1.903807615230460826e+00,1.686144995731892582e+00
1.923847695390781487e+00,1.676709487476201854e+00
1.943887775551102148e+00,1.665720629359938698e+00
1.963927855711422810e+00,1.653183527560303734e+00
1.983967935871743471e+00,1.639105287085480978e+00
2.004008016032063910e+00,1.623495011774639396e+00
2.024048096192384794e+00,1.606363804297930242e+00
2.044088176352705233e+00,1.587724766156489720e+00
2.064128256513026116e+00,1.567592997682436762e+00
2.084168336673346555e+00,1.545985598038875253e+00
2.104208416833667439e+00,1.522921665219891807e+00
2.124248496993987878e+00,1.498422296050557767e+00
2.144288577154308317e+00,1.472511497171399730e+00
2.164328657314629201e+00,1.445232375202236685e+00
2.184368737474949640e+00,1.416626599822033761e+00
2.204408817635270523e+00,1.386732687823946319e+00
2.224448897795590963e+00,1.355590478070203941e+00
2.244488977955911846e+00,1.323241131492103539e+00
2.264529058116232285e+00,1.289727131090016687e+00
2.284569138276553169e+00,1.255092281933382292e+00
2.304609218436873608e+00,1.219381711160714143e+00
2.324649298597194491e+00,1.182641867979592920e+00
2.344689378757514930e+00,1.144920523666674850e+00
2.364729458917835370e+00,1.106266771567683271e+00
2.384769539078156253e+00,1.066731027097413298e+00
2.404809619238476692e+00,1.026365027739733371e+00
2.424849699398797576e+00,9.852218330475801533e-01
2.444889779559118015e+00,9.433558246429641914e-01
2.464929859719438898e+00,9.008227062169631427e-01
2.484969939879759337e+00,8.576795035297298808e-01
2.505010020040080221e+00,8.139845644104846123e-01
2.525050100200400660e+00,7.697975587575222045e-01
2.545090180360721543e+00,7.251794785382045250e-01
2.565130260521041983e+00,6.801926377889685460e-01
2.585170340681362422e+00,6.349006726153192393e-01
2.605210420841683305e+00,5.893685411918322403e-01
2.625250501002003745e+00,5.436625237621585116e-01
2.645290581162324628e+00,4.978502226390139063e-01
2.665330661322645067e+00,4.520005622041911586e-01
2.685370741482965951e+00,4.061834815371503926e-01
2.705410821643286390e+00,3.604607692975212996e-01
2.725450901803607273e+00,3.148939136222905222e-01
2.745490981963927712e+00,2.695463386426815156e-01
2.765531062124248596e+00,2.244806936316580126e-01
2.785571142284569035e+00,1.797588530039318233e-01
2.805611222444889474e+00,1.354419163159557571e-01
2.825651302605210358e+00,9.159020826592695341e-02
2.845691382765530797e+00,4.826327869378965740e-02
2.865731462925851680e+00,5.519902581228142147e-03
2.885771543086172120e+00,-3.658191994832510341e-02
2.905811623246493003e+00,-7.798496362969747908e-02
2.925851703406813442e+00,-1.186327780559682799e-01
2.945891783567134325e+00,-1.584696876784764674e-01
2.965931863727454765e+00,-1.974407918068133982e-01
2.985971943887775648e+00,-2.354919646088295959e-01
3.006012024048096087e+00,-2.725698551106278122e-01
3.026052104208416527e+00,-3.086218871965700217e-01
3.046092184368737410e+00,-3.435962596092727583e-01
3.066132264529057849e+00,-3.774419459496075602e-01
3.086172344689378733e+00,-4.101086946767037444e-01
3.106212424849699172e+00,-4.415470291079435228e-01
3.126252505010020055e+00,-4.717082474189691066e-01
3.146292585170340494e+00,-5.005444226436742694e-01
3.166332665330661378e+00,-5.280087893640245111e-01
3.186372745490981817e+00,-5.540708452895183322e-01
3.206412825651302256e+00,-5.787037171937970959e-01
3.226452905811623140e+00,-6.018779474753230829e-01
3.246492985971943579e+00,-6.235662262172273484e-01
3.266533066132264462e+00,-6.437433911873127190e-01
3.286573146292584902e+00,-6.623864278380506843e-01
3.306613226452905785e+00,-6.794744693065839503e-01
3.326653306613226224e+00,-6.949887964147243302e-01
3.346693386773547108e+00,-7.089128376689547428e-01
3.366733466933867547e+00,-7.212321692604269918e-01
3.386773547094188430e+00,-7.319345150649642084e-01
3.406813627254508869e+00,-7.410097466430586310e-01
3.426853707414829309e+00,-7.484498832398729373e-01
3.446893787575150192e+00,-7.542490917852404664e-01
3.466933867735470631e+00,-7.584036868936633313e-01
3.486973947895791515e+00,-7.609121308643149728e-01
3.507014028056111954e+00,-7.617750336810381606e-01
3.527054108216432837e+00,-7.609951530123462149e-01
3.547094188376753277e+00,-7.585773942114221180e-01
3.567134268537074160e+00,-7.545288103161191806e-01
3.587174348697394599e+00,-7.488586020489609307e-01
3.607214428857715482e+00,-7.415781178171405585e-01
3.627254509018035922e+00,-7.327008537125219156e-01
3.647294589178356361e+00,-7.222433326041560742e-01
3.667334669338677244e+00,-7.102344348425143616e-01
3.687374749498997684e+00,-6.967041783365679475e-01
3.707414829659318567e+00,-6.816827694115072944e-01
3.727454909819639006e+00,-6.652020654153796286e-01
3.747494989979959890e+00,-6.472955747190863862e-01
3.767535070140280329e+00,-6.279984567163862108e-01
3.787575150300601212e+00,-6.073475218238916229e-01
3.807615230460921651e+00,-5.853812314810726836e-01
3.827655310621242535e+00,-5.621396981502528867e-01
3.847695390781562974e+00,-5.376646853166135998e-01
3.867735470941883413e+00,-5.119996074881902892e-01
3.887775551102204297e+00,-4.851895301958737416e-01
3.907815631262524736e+00,-4.572811699934125063e-01
3.927855711422845619e+00,-4.283228944574078989e-01
3.947895791583166059e+00,-3.983647221873196642e-01
3.967935871743486942e+00,-3.674583228054603690e-01
3.987975951903807381e+00,-3.356570169570011197e-01
4.008016032064127820e+00,-3.030157763099662893e-01
4.028056112224448704e+00,-2.695912235552362923e-01
4.048096192384769587e+00,-2.354416324065478627e-01
4.068136272545089582e+00,-2.006269276004950530e-01
4.088176352705410466e+00,-1.652086848965222954e-01
4.108216432865731349e+00,-1.292501310769343936e-01
4.128256513026052232e+00,-9.281614394689041703e-02
4.148296593186372228e+00,-5.597301058804027979e-02
4.168336673346693111e+00,-1.878584443197380688e-02
4.188376753507013994e+00,1.868107521002076998e-02
4.208416833667334878e+00,5.636374555095971517e-02
4.228456913827654873e+00,9.419851761376524246e-02
4.248496993987975756e+00,1.321220962312724678e-01
4.268537074148296639e+00,1.700715400462190774e-01
4.288577154308616635e+00,2.079842615112506565e-01
4.308617234468937518e+00,2.457980268889255471e-01
4.328657314629258401e+00,2.834509562517045778e-01
4.348697394789579285e+00,3.208815234819583639e-01
4.368737474949899280e+00,3.580285562719634496e-01
4.388777555110220163e+00,3.948312361239089130e-01
4.408817635270541047e+00,4.312290983498869856e-01
4.428857715430861930e+00,4.671620320718989916e-01
4.448897795591181925e+00,5.025702802218524612e-01
4.468937875751502808e+00,5.373944395415677366e-01
4.488977955911823692e+00,5.715754605827676471e-01
4.509018036072143687e+00,6.050546477070833928e-01
4.529058116232464570e+00,6.377736590860576538e-01
4.549098196392785454e+00,6.696745067011372621e-01
4.569138276553106337e+00,7.006995563436777541e-01
4.589178356713426332e+00,7.307915276149414829e-01
4.609218436873747216e+00,7.598934939261019483e-01
4.629258517034068099e+00,7.879488824982368023e-01
4.649298597194388982e+00,8.149014743623328449e-01
4.669338677354708977e+00,8.406954043592830272e-01
4.689378757515029861e+00,8.652812017808634293e-01
4.709418837675350744e+00,8.886308707088255154e-01
4.729458917835670739e+00,9.107091587231357366e-01
4.749498997995991623e+00,9.314817395216237195e-01
4.769539078156312506e+00,9.509163028609458612e-01
4.789579158316633389e+00,9.689825545565894371e-01
4.809619238476953385e+00,9.856522164828707133e-01
4.829659318637274268e+00,1.000899026572938055e+00
4.849699398797595151e+00,1.014698738818767154e+00
4.869739478957916035e+00,1.027029123271164801e+00
4.889779559118236030e+00,1.037869966039766556e+00
4.909819639278556913e+00,1.047203069293039190e+00
4.929859719438877796e+00,1.055012251258278466e+00
4.949899799599197792e+00,1.061283346221609580e+00
4.969939879759518675e+00,1.066004204527988497e+00
4.989979959919839558e+00,1.069164692581199949e+00
5.010020040080160442e+00,1.070756692843859437e+00
5.030060120240480437e+00,1.070774103837411229e+00
5.050100200400801320e+00,1.069212840142130361e+00
5.070140280561122204e+00,1.066070832397121082e+00
5.090180360721443087e+00,1.061348027300317742e+00
5.110220440881763082e+00,1.055046387608484348e+00
5.130260521042083965e+00,1.047169892137214342e+00
5.150300601202404849e+00,1.037724535760931488e+00
5.170340681362724844e+00,1.026718329412890096e+00
5.190380761523045727e+00,1.014161300085172135e+00
5.210420841683366611e+00,1.000065673293366819e+00
5.230460921843687494e+00,9.844615401231486818e-01
5.250501002004007489e+00,9.673832306007159598e-01
5.270541082164328373e+00,9.488597177209430189e-01
5.290581162324649256e+00,9.289216201339747236e-01
5.310621242484970139e+00,9.076012021452235512e-01
5.330661322645290134e+00,8.849323737153712566e-01
5.350701402805611018e+00,8.609506904603646538e-01
5.370741482965931901e+00,8.356933536514221661e-01
5.390781563126251896e+00,8.091992102150303845e-01
5.410821643286572780e+00,7.815087527329407369e-01
5.430861723446893663e+00,7.526641194421765935e-01
5.450901803607214546e+00,7.227090942350282710e-01
5.470941883767534542e+00,6.916891066590555859e-01
5.490981963927855425e+00,6.596512319170828587e-01
5.511022044088176308e+00,6.266441908672064631e-01
5.531062124248497192e+00,5.927183500227900526e-01
5.551102204408817187e+00,5.579257215524667801e-01
5.571142284569138070e+00,5.223199632801334147e-01
5.591182364729458953e+00,4.859563786849601108e-01
5.611222444889778949e+00,4.488919169013844135e-01
5.631262525050099832e+00,4.111851727191084827e-01
5.651302605210420715e+00,3.728963865831067537e-01
5.671342685370741599e+00,3.340874445936204973e-01
5.691382765531061594e+00,2.948218785061611502e-01
5.711422845691382477e+00,2.551648657315030988e-01
5.731462925851703361e+00,2.151821722181555541e-01
5.751503006012024244e+00,1.749375649454936732e-01
5.771543086172344239e+00,1.344947866308469631e-01
5.791583166332665122e+00,9.391723578850438847e-02
5.811623246492986006e+00,5.326794750062061046e-02
5.831663326653306001e+00,1.260959341721065718e-02
5.851703406813626884e+00,-2.799551824385565491e-02
5.871743486973947768e+00,-6.848544269684264663e-02
5.891783567134268651e+00,-1.087985985881564366e-01
5.911823647294588646e+00,-1.488737679963404448e-01
5.931863727454909530e+00,-1.886500964320836915e-01
5.951903807615230413e+00,-2.280670928382094731e-01
5.971943887775551296e+00,-2.670646295896824673e-01
5.991983967935871291e+00,-3.055829424936050698e-01
6.012024048096192175e+00,-3.435626307892248876e-01
6.032064128256513058e+00,-3.809446571479243593e-01
6.052104208416833053e+00,-4.176703476732245290e-01
6.072144288577153937e+00,-4.536813919007922635e-01
6.092184368737474820e+00,-4.889198427984284834e-01
6.112224448897795703e+00,-5.233281167660758237e-01
6.132264529058115698e+00,-5.568489936358153036e-01
6.152304609218436582e+00,-5.894256166718710999e-01
6.172344689378757465e+00,-6.210014925706036637e-01
6.192384769539078349e+00,-6.515204914605146058e-01
6.212424849699398344e+00,-6.809268469022432546e-01
6.232464929859719227e+00,-7.091651558885727624e-01
6.252505010020040110e+00,-7.361823146268574591e-01
6.272545090180360106e+00,-7.619474225536968515e-01
6.292585170340680989e+00,-7.864270574404372827e-01
6.312625250501001872e+00,-8.095862039530430376e-01
6.332665330661322756e+00,-8.313918707354557291e-01
6.352705410821642751e+00,-8.518130904095913003e-01
6.372745490981963634e+00,-8.708209195753442433e-01
6.392785571142284518e+00,-8.883884388105822705e-01
6.412825651302604513e+00,-9.044907526711488677e-01
6.432865731462925396e+00,-9.191049896908649597e-01
6.452905811623246279e+00,-9.322103023815254685e-01
6.472945891783567163e+00,-9.437878672329017560e-01
6.492985971943887158e+00,-9.538208847127400691e-01
6.513026052104208041e+00,-9.622945792667639830e-01
6.533066132264528925e+00,-9.691961993186712920e-01
6.553106212424849808e+00,-9.745150172701360081e-01
6.573146292585169803e+00,-9.782423295008078057e-01
6.593186372745490686e+00,-9.803714563683120220e-01
6.613226452905811570e+00,-9.808977422082498787e-01
6.633266533066131565e+00,-9.798185553341980381e-01
6.653306613226452448e+00,-9.771332880377088248e-01
6.673346693386773332e+00,-9.728433565883105594e-01
6.693386773547094215e+00,-9.669522012335068917e-01
6.713426853707414210e+00,-9.594652861987779113e-01
6.733466933867735094e+00,-9.503900996875781493e-01
6.753507014028055977e+00,-9.397361538813386872e-01
6.773547094188376860e+00,-9.275176814044482354e-01
6.793587174348696855e+00,-9.137679466266255268e-01
6.813627254509017739e+00,-8.985154543173221597e-01
6.833667334669338622e+00,-8.817883699794220043e-01
6.853707414829658617e+00,-8.636165426852409066e-01
6.873747494989979501e+00,-8.440315050765235805e-01
6.893787575150300384e+00,-8.230664733644492692e-01
6.913827655310621267e+00,-8.007563473296279710e-01
6.933867735470941263e+00,-7.771377103221022153e-01
6.953907815631262146e+00,-7.522488292613435101e-01
6.973947895791583029e+00,-7.261296546362575599e-01
6.993987975951903913e+00,-6.988218205051812681e-01
7.014028056112223908e+00,-6.703686444958841806e-01
7.034068136272544791e+00,-6.408151278055640443e-01
7.054108216432865675e+00,-6.102079552008534691e-01
7.074148296593185670e+00,-5.785954950178175960e-01
7.094188376753506553e+00,-5.460277991619486571e-01
7.114228456913827436e+00,-5.125566031081749685e-01
7.134268537074148320e+00,-4.782353259008546575e-01
7.154308617234468315e+00,-4.431190701537797705e-01
7.174348697394789198e+00,-4.072646220501688896e-01
7.194388777555110082e+00,-3.707304513426773473e-01
7.214428857715430965e+00,-3.335767113533898431e-01
7.234468937875750960e+00,-2.958652389738254396e-01
7.254509018036071843e+00,-2.576595546649290691e-01
7.274549098196392727e+00,-2.190248385829734190e-01
7.294589178356712722e+00,-1.800262303399595143e-01
7.314629258517033605e+00,-1.407276203978467255e-01
7.334669338677354489e+00,-1.011926808383157850e-01
7.354709418837675372e+00,-6.148477515536224236e-02
7.374749498997995367e+00,-2.166695825529993402e-02
7.394789579158316251e+00,1.819802354324581706e-02
7.414829659318637134e+00,5.804773250932809825e-02
7.434869739478958017e+00,9.782003949968481882e-02
7.454909819639278012e+00,1.374531239587360454e-01
7.474949899799598896e+00,1.768854739185898861e-01
7.494989979959919779e+00,2.160558859990332481e-01
7.515030060120239774e+00,2.549034654075359452e-01
7.535070140280560658e+00,2.933676259392568042e-01
7.555110220440881541e+00,3.313880899770325072e-01
7.575150300601202424e+00,3.689048884913853632e-01
7.595190380761522420e+00,4.058583610405189779e-01
7.615230460921843303e+00,4.421891557703255815e-01
7.635270541082164186e+00,4.778382294143754816e-01
7.655310621242485070e+00,5.127468472939248345e-01
7.675350701402805065e+00,5.468565833179110935e-01
7.695390781563125948e+00,5.801093199829596703e-01
7.715430861723446831e+00,6.124472483733749417e-01
7.735470941883766827e+00,6.438128681611453574e-01
7.755511022044087710e+00,6.741489876059459929e-01
7.775551102204408593e+00,7.033987235551316664e-01
7.795591182364729477e+00,7.315055014437423786e-01
7.815631262525049472e+00,7.584170166865273899e-01
7.835671342685370355e+00,7.841033988820538259e-01
7.855711422845691239e+00,8.085287920058275013e-01
7.875751503006012122e+00,8.316573033932499470e-01
7.895791583166332117e+00,8.534550452366602702e-01
7.915831663326653000e+00,8.738901345853395952e-01
7.935871743486973884e+00,8.929326933455052906e-01
7.955911823647293879e+00,9.105548482803134114e-01
7.975951903807614762e+00,9.267307310098616968e-01
7.995991983967935646e+00,9.414364780111842412e-01
8.016032064128255641e+00,9.546502306182544917e-01
8.036072144288576524e+00,9.663521350219864692e-01
8.056112224448897408e+00,9.765243422702314380e-01
8.076152304609218291e+00,9.851510082677800151e-01
8.096192384769539174e+00,9.922182937763620592e-01
8.116232464929860058e+00,9.977143644146462265e-01
8.136272545090179165e+00,1.001629390658239860e+00
8.156312625250500048e+00,1.003955547839690432e+00
8.176352705410820931e+00,1.004687016148482659e+00
8.196392785571141815e+00,1.003819980631041275e+00
8.216432865731462698e+00,1.001352631190729703e+00
8.236472945891783581e+00,9.972851625878502713e-01
8.256513026052104465e+00,9.916197744396442193e-01
8.276553106212425348e+00,9.843606712202921383e-01
8.296593186372744455e+00,9.755140622609137502e-01
8.316633266533065338e+00,9.650881617495657983e-01
8.336673346693386222e+00,9.530955209390995497e-01
8.356713426853707105e+00,9.395687214315366909e-01
8.376753507014027988e+00,9.245358642165777407e-01
8.396793587174348872e+00,9.080241770005308410e-01
8.416833667334669755e+00,8.900625891820873603e-01
8.436873747494988862e+00,8.706817318523243365e-01
8.456913827655309746e+00,8.499139377946968166e-01
8.476953907815630629e+00,8.277932414850485143e-01
8.496993987975951512e+00,8.043553790916051494e-01
8.517034068136272396e+00,7.796377884749758902e-01
8.537074148296593279e+00,7.536796091881533544e-01
8.557114228456914162e+00,7.265216824765138304e-01
8.577154308617233269e+00,6.982065512778194982e-01
8.597194388777554153e+00,6.687784602222086594e-01
8.617234468937875036e+00,6.382833556322107249e-01
8.637274549098195919e+00,6.067688855227355571e-01
8.657314629258516803e+00,5.742843996010773555e-01
8.677354709418837686e+00,5.408809492669135466e-01
8.697394789579158569e+00,5.066112876123045616e-01
8.717434869739479453e+00,4.715298694216951692e-01
8.737474949899798560e+00,4.356928511719163621e-01
8.757515030060119443e+00,3.991580910321732567e-01
8.777555110220440326e+00,3.619851488640640769e-01
8.797595190380761210e+00,3.242352862215670539e-01
8.817635270541082093e+00,2.859714663510445343e-01
8.837675350701402976e+00,2.472583477878674552e-01
8.857715430861723860e+00,2.081609851705680247e-01
8.877755511022042967e+00,1.687431904836051155e-01
8.897795591182363850e+00,1.290685103718005877e-01
8.917835671342684734e+00,8.920020920014157251e-02
8.937875751503005617e+00,4.920126905376631665e-02
8.957915831663326500e+00,9.134389737967846257e-03
8.977955911823647384e+00,-3.093801122180628305e-02
8.997995991983968267e+00,-7.095379857995370854e-02
9.018036072144287374e+00,-1.108511193707139020e-01
9.038076152304608257e+00,-1.505684029081823527e-01
9.058116232464929141e+00,-1.900443607862891682e-01
9.078156312625250024e+00,-2.292179868788131736e-01
9.098196392785570907e+00,-2.680285573393790255e-01
9.118236472945891791e+00,-3.064156306014559350e-01
9.138276553106212674e+00,-3.443190473783592775e-01
9.158316633266533557e+00,-3.816789306632488721e-01
9.178356713426852664e+00,-4.184356857291275933e-01
9.198396793587173548e+00,-4.545300001288526959e-01
9.218436873747494431e+00,-4.899028436951170518e-01
9.238476953907815314e+00,-5.244954685404621397e-01
9.258517034068136198e+00,-5.582494090572750478e-01
9.278557114228457081e+00,-5.911064819177881402e-01
9.298597194388777964e+00,-6.230087860740787242e-01
9.318637274549097071e+00,-6.538987027580670519e-01
9.338677354709417955e+00,-6.837188954815270892e-01
9.358717434869738838e+00,-7.124123100360690852e-01
9.378757515030059722e+00,-7.399249367100481090e-01
9.398797595190380605e+00,-7.662252838998090398e-01
9.418837675350701488e+00,-7.912775469628421376e-01
9.438877755511022372e+00,-8.150450583980881625e-01
9.458917835671341479e+00,-8.374931466955448656e-01
9.478957915831662362e+00,-8.585891363362759821e-01
9.498997995991983245e+00,-8.783023477923985745e-01
9.519038076152304129e+00,-8.966040975270912483e-01
9.539078156312625012e+00,-9.134676979945923758e-01
9.559118236472945895e+00,-9.288684576401995407e-01
9.579158316633266779e+00,-9.427836809002700935e-01
9.599198396793587662e+00,-9.551926682022211512e-01
9.619238476953906769e+00,-9.660767159645282653e-01
9.639278557114227652e+00,-9.754191165967290855e-01
9.659318637274548536e+00,-9.832051584994183635e-01
9.679358717434869419e+00,-9.894221260642512839e-01
9.699398797595190302e+00,-9.940592996739425757e-01
9.719438877755511186e+00,-9.971079557022661799e-01
9.739478957915832069e+00,-9.985613665140563588e-01
9.759519038076151176e+00,-9.984148004652061426e-01
9.779559118236472059e+00,-9.966655219026686607e-01
9.799599198396792943e+00,-9.933127911644563657e-01
9.819639278557113826e+00,-9.883578645796411433e-01
